Date,Close
1/2/2019 16:00:00,20.67
1/3/2019 16:00:00,20.02
1/4/2019 16:00:00,21.18
1/7/2019 16:00:00,22.33
1/8/2019 16:00:00,22.36
1/9/2019 16:00:00,22.57
1/10/2019 16:00:00,23
1/11/2019 16:00:00,23.15
1/14/2019 16:00:00,22.29
1/15/2019 16:00:00,22.96
1/16/2019 16:00:00,23.07
1/17/2019 16:00:00,23.15
1/18/2019 16:00:00,20.15
1/22/2019 16:00:00,19.93
1/23/2019 16:00:00,19.17
1/24/2019 16:00:00,19.43
1/25/2019 16:00:00,19.8
1/28/2019 16:00:00,19.76
1/29/2019 16:00:00,19.83
1/30/2019 16:00:00,20.58
1/31/2019 16:00:00,20.47
2/1/2019 16:00:00,20.81
2/4/2019 16:00:00,20.86
2/5/2019 16:00:00,21.42
2/6/2019 16:00:00,21.15
2/7/2019 16:00:00,20.5
2/8/2019 16:00:00,20.39
2/11/2019 16:00:00,20.86
2/12/2019 16:00:00,20.79
2/13/2019 16:00:00,20.54
2/14/2019 16:00:00,20.25
2/15/2019 16:00:00,20.53
2/19/2019 16:00:00,20.38
2/20/2019 16:00:00,20.17
2/21/2019 16:00:00,19.42
2/22/2019 16:00:00,19.65
2/25/2019 16:00:00,19.92
2/26/2019 16:00:00,19.86
2/27/2019 16:00:00,20.98
2/28/2019 16:00:00,21.33
3/1/2019 16:00:00,19.65
3/4/2019 16:00:00,19.02
3/5/2019 16:00:00,18.44
3/6/2019 16:00:00,18.42
3/7/2019 16:00:00,18.44
3/8/2019 16:00:00,18.94
3/11/2019 16:00:00,19.39
3/12/2019 16:00:00,18.89
3/13/2019 16:00:00,19.26
3/14/2019 16:00:00,19.33
3/15/2019 16:00:00,18.36
3/18/2019 16:00:00,17.97
3/19/2019 16:00:00,17.83
3/20/2019 16:00:00,18.24
3/21/2019 16:00:00,18.27
3/22/2019 16:00:00,17.64
3/25/2019 16:00:00,17.36
3/26/2019 16:00:00,17.85
3/27/2019 16:00:00,18.32
3/28/2019 16:00:00,18.57
3/29/2019 16:00:00,18.66
4/1/2019 16:00:00,19.28
4/2/2019 16:00:00,19.06
4/3/2019 16:00:00,19.45
4/4/2019 16:00:00,17.85
4/5/2019 16:00:00,18.33
4/8/2019 16:00:00,18.21
4/9/2019 16:00:00,18.15
4/10/2019 16:00:00,18.4
4/11/2019 16:00:00,17.89
4/12/2019 16:00:00,17.85
4/15/2019 16:00:00,17.76
4/16/2019 16:00:00,18.22
4/17/2019 16:00:00,18.08
4/18/2019 16:00:00,18.22
4/22/2019 16:00:00,17.52
4/23/2019 16:00:00,17.59
4/24/2019 16:00:00,17.24
4/25/2019 16:00:00,16.51
4/26/2019 16:00:00,15.68
4/29/2019 16:00:00,16.1
4/30/2019 16:00:00,15.91
5/1/2019 16:00:00,15.6
5/2/2019 16:00:00,16.27
5/3/2019 16:00:00,17
5/6/2019 16:00:00,17.02
5/7/2019 16:00:00,16.47
5/8/2019 16:00:00,16.32
5/9/2019 16:00:00,16.13
5/10/2019 16:00:00,15.97
5/13/2019 16:00:00,15.13
5/14/2019 16:00:00,15.49
5/15/2019 16:00:00,15.46
5/16/2019 16:00:00,15.22
5/17/2019 16:00:00,14.07
5/20/2019 16:00:00,13.69
5/21/2019 16:00:00,13.67
5/22/2019 16:00:00,12.85
5/23/2019 16:00:00,13.03
5/24/2019 16:00:00,12.71
5/28/2019 16:00:00,12.58
5/29/2019 16:00:00,12.66
5/30/2019 16:00:00,12.55
5/31/2019 16:00:00,12.34
6/3/2019 16:00:00,11.93
6/4/2019 16:00:00,12.91
6/5/2019 16:00:00,13.11
6/6/2019 16:00:00,13.73
6/7/2019 16:00:00,13.63
6/10/2019 16:00:00,14.19
6/11/2019 16:00:00,14.47
6/12/2019 16:00:00,13.95
6/13/2019 16:00:00,14.26
6/14/2019 16:00:00,14.33
6/17/2019 16:00:00,15
6/18/2019 16:00:00,14.98
6/19/2019 16:00:00,15.1
6/20/2019 16:00:00,14.64
6/21/2019 16:00:00,14.79
6/24/2019 16:00:00,14.91
6/25/2019 16:00:00,14.65
6/26/2019 16:00:00,14.62
6/27/2019 16:00:00,14.86
6/28/2019 16:00:00,14.9
7/1/2019 16:00:00,15.14
7/2/2019 16:00:00,14.97
7/3/2019 13:00:00,15.66
7/5/2019 16:00:00,15.54
7/8/2019 16:00:00,15.36
7/9/2019 16:00:00,15.34
7/10/2019 16:00:00,15.93
7/11/2019 16:00:00,15.91
7/12/2019 16:00:00,16.34
7/15/2019 16:00:00,16.9
7/16/2019 16:00:00,16.83
7/17/2019 16:00:00,16.99
7/18/2019 16:00:00,16.9
7/19/2019 16:00:00,17.21
7/22/2019 16:00:00,17.05
7/23/2019 16:00:00,17.34
7/24/2019 16:00:00,17.66
7/25/2019 16:00:00,15.25
7/26/2019 16:00:00,15.2
7/29/2019 16:00:00,15.72
7/30/2019 16:00:00,16.15
7/31/2019 16:00:00,16.11
8/1/2019 16:00:00,15.59
8/2/2019 16:00:00,15.62
8/5/2019 16:00:00,15.22
8/6/2019 16:00:00,15.38
8/7/2019 16:00:00,15.56
8/8/2019 16:00:00,15.89
8/9/2019 16:00:00,15.67
8/12/2019 16:00:00,15.27
8/13/2019 16:00:00,15.67
8/14/2019 16:00:00,14.64
8/15/2019 16:00:00,14.38
8/16/2019 16:00:00,14.66
8/19/2019 16:00:00,15.12
8/20/2019 16:00:00,15.06
8/21/2019 16:00:00,14.72
8/22/2019 16:00:00,14.81
8/23/2019 16:00:00,14.09
8/26/2019 16:00:00,14.33
8/27/2019 16:00:00,14.27
8/28/2019 16:00:00,14.37
8/29/2019 16:00:00,14.78
8/30/2019 16:00:00,15.04
9/3/2019 16:00:00,15
9/4/2019 16:00:00,14.71
9/5/2019 16:00:00,15.31
9/6/2019 16:00:00,15.16
9/9/2019 16:00:00,15.45
9/10/2019 16:00:00,15.7
9/11/2019 16:00:00,16.47
9/12/2019 16:00:00,16.39
9/13/2019 16:00:00,16.35
9/16/2019 16:00:00,16.19
9/17/2019 16:00:00,16.32
9/18/2019 16:00:00,16.23
9/19/2019 16:00:00,16.44
9/20/2019 16:00:00,16.04
9/23/2019 16:00:00,16.08
9/24/2019 16:00:00,14.88
9/25/2019 16:00:00,15.25
9/26/2019 16:00:00,16.17
9/27/2019 16:00:00,16.14
9/30/2019 16:00:00,16.06
10/1/2019 16:00:00,16.31
10/2/2019 16:00:00,16.21
10/3/2019 16:00:00,15.54
10/4/2019 16:00:00,15.43
10/7/2019 16:00:00,15.85
10/8/2019 16:00:00,16
10/9/2019 16:00:00,16.3
10/10/2019 16:00:00,16.32
10/11/2019 16:00:00,16.53
10/14/2019 16:00:00,17.13
10/15/2019 16:00:00,17.19
10/16/2019 16:00:00,17.32
10/17/2019 16:00:00,17.46
10/18/2019 16:00:00,17.13
10/21/2019 16:00:00,16.9
10/22/2019 16:00:00,17.04
10/23/2019 16:00:00,16.98
10/24/2019 16:00:00,19.98
10/25/2019 16:00:00,21.88
10/28/2019 16:00:00,21.85
10/29/2019 16:00:00,21.08
10/30/2019 16:00:00,21
10/31/2019 16:00:00,20.99
11/1/2019 16:00:00,20.89
11/4/2019 16:00:00,21.16
11/5/2019 16:00:00,21.15
11/6/2019 16:00:00,21.77
11/7/2019 16:00:00,22.37
11/8/2019 16:00:00,22.48
11/11/2019 16:00:00,23.01
11/12/2019 16:00:00,23.33
11/13/2019 16:00:00,23.07
11/14/2019 16:00:00,23.29
11/15/2019 16:00:00,23.48
11/18/2019 16:00:00,23.33
11/19/2019 16:00:00,23.97
11/20/2019 16:00:00,23.48
11/21/2019 16:00:00,23.66
11/22/2019 16:00:00,22.2
11/25/2019 16:00:00,22.42
11/26/2019 16:00:00,21.93
11/27/2019 16:00:00,22.09
11/29/2019 13:00:00,22
12/2/2019 16:00:00,22.32
12/3/2019 16:00:00,22.41
12/4/2019 16:00:00,22.2
12/5/2019 16:00:00,22.02
12/6/2019 16:00:00,22.39
12/9/2019 16:00:00,22.64
12/10/2019 16:00:00,23.26
12/11/2019 16:00:00,23.51
12/12/2019 16:00:00,23.98
12/13/2019 16:00:00,23.89
12/16/2019 16:00:00,25.43
12/17/2019 16:00:00,25.27
12/18/2019 16:00:00,26.21
12/19/2019 16:00:00,26.94
12/20/2019 16:00:00,27.04
12/23/2019 16:00:00,27.95
12/24/2019 13:00:00,28.35
12/26/2019 16:00:00,28.73
12/27/2019 16:00:00,28.69
12/30/2019 16:00:00,27.65
