Date,Close
1/2/2019 16:00:00,46.93
1/3/2019 16:00:00,46.64
1/4/2019 16:00:00,47.57
1/7/2019 16:00:00,46.95
1/8/2019 16:00:00,47.48
1/9/2019 16:00:00,46.57
1/10/2019 16:00:00,47.07
1/11/2019 16:00:00,47.34
1/14/2019 16:00:00,47.15
1/15/2019 16:00:00,47.57
1/16/2019 16:00:00,46.92
1/17/2019 16:00:00,47.06
1/18/2019 16:00:00,47.61
1/22/2019 16:00:00,47.72
1/23/2019 16:00:00,48.27
1/24/2019 16:00:00,47.69
1/25/2019 16:00:00,47.37
1/28/2019 16:00:00,47.17
1/29/2019 16:00:00,47.4
1/30/2019 16:00:00,47.86
1/31/2019 16:00:00,48.13
2/1/2019 16:00:00,48.7
2/4/2019 16:00:00,49.25
2/5/2019 16:00:00,49.26
2/6/2019 16:00:00,49.26
2/7/2019 16:00:00,49.42
2/8/2019 16:00:00,49.5
2/11/2019 16:00:00,49.61
2/12/2019 16:00:00,49.66
2/13/2019 16:00:00,49.79
2/14/2019 16:00:00,45.59
2/15/2019 16:00:00,45.24
2/19/2019 16:00:00,44.83
2/20/2019 16:00:00,45.1
2/21/2019 16:00:00,45.86
2/22/2019 16:00:00,45.28
2/25/2019 16:00:00,44.94
2/26/2019 16:00:00,44.69
2/27/2019 16:00:00,44.94
2/28/2019 16:00:00,45.34
3/1/2019 16:00:00,45.38
3/4/2019 16:00:00,45.65
3/5/2019 16:00:00,45.6
3/6/2019 16:00:00,45.45
3/7/2019 16:00:00,45.28
3/8/2019 16:00:00,44.84
3/11/2019 16:00:00,46.18
3/12/2019 16:00:00,46.05
3/13/2019 16:00:00,46.22
3/14/2019 16:00:00,45.7
3/15/2019 16:00:00,45.3
3/18/2019 16:00:00,45.41
3/19/2019 16:00:00,45.56
3/20/2019 16:00:00,45.53
3/21/2019 16:00:00,45.51
3/22/2019 16:00:00,45.93
3/25/2019 16:00:00,46.03
3/26/2019 16:00:00,46.64
3/27/2019 16:00:00,46.61
3/28/2019 16:00:00,46.58
3/29/2019 16:00:00,46.86
4/1/2019 16:00:00,46.72
4/2/2019 16:00:00,46.57
4/3/2019 16:00:00,46.18
4/4/2019 16:00:00,46.48
4/5/2019 16:00:00,46.47
4/8/2019 16:00:00,46.55
4/9/2019 16:00:00,46.67
4/10/2019 16:00:00,46.64
4/11/2019 16:00:00,46.71
4/12/2019 16:00:00,46.74
4/15/2019 16:00:00,47
4/16/2019 16:00:00,46.95
4/17/2019 16:00:00,47.28
4/18/2019 16:00:00,47.48
4/22/2019 16:00:00,47.4
4/23/2019 16:00:00,48.21
4/24/2019 16:00:00,47.98
4/25/2019 16:00:00,47.84
4/26/2019 16:00:00,48.26
4/29/2019 16:00:00,48.42
4/30/2019 16:00:00,49.06
5/1/2019 16:00:00,48.59
5/2/2019 16:00:00,48.39
5/3/2019 16:00:00,48.72
5/6/2019 16:00:00,48.47
5/7/2019 16:00:00,48
5/8/2019 16:00:00,47.85
5/9/2019 16:00:00,47.4
5/10/2019 16:00:00,48.19
5/13/2019 16:00:00,48.05
5/14/2019 16:00:00,48.69
5/15/2019 16:00:00,49.18
5/16/2019 16:00:00,49.58
5/17/2019 16:00:00,49.2
5/20/2019 16:00:00,48.85
5/21/2019 16:00:00,48.6
5/22/2019 16:00:00,49.65
5/23/2019 16:00:00,49.85
5/24/2019 16:00:00,49.61
5/28/2019 16:00:00,49.1
5/29/2019 16:00:00,48.61
5/30/2019 16:00:00,49.25
5/31/2019 16:00:00,49.13
6/3/2019 16:00:00,49.98
6/4/2019 16:00:00,50
6/5/2019 16:00:00,50.78
6/6/2019 16:00:00,51.4
6/7/2019 16:00:00,51.49
6/10/2019 16:00:00,51.38
6/11/2019 16:00:00,51.33
6/12/2019 16:00:00,51.64
6/13/2019 16:00:00,51.13
6/14/2019 16:00:00,51.31
6/17/2019 16:00:00,50.87
6/18/2019 16:00:00,50.64
6/19/2019 16:00:00,51.12
6/20/2019 16:00:00,51.66
6/21/2019 16:00:00,51.55
6/24/2019 16:00:00,51.92
6/25/2019 16:00:00,51.76
6/26/2019 16:00:00,51.12
6/27/2019 16:00:00,51.08
6/28/2019 16:00:00,50.92
7/1/2019 16:00:00,51.6
7/2/2019 16:00:00,51.98
7/3/2019 13:00:00,52.1
7/5/2019 16:00:00,52.11
7/8/2019 16:00:00,52
7/9/2019 16:00:00,51.59
7/10/2019 16:00:00,51.82
7/11/2019 16:00:00,52.04
7/12/2019 16:00:00,52.12
7/15/2019 16:00:00,52.13
7/16/2019 16:00:00,52.14
7/17/2019 16:00:00,52.18
7/18/2019 16:00:00,52.03
7/19/2019 16:00:00,51.39
7/22/2019 16:00:00,51.22
7/23/2019 16:00:00,54.33
7/24/2019 16:00:00,53.78
7/25/2019 16:00:00,53.07
7/26/2019 16:00:00,54.17
7/29/2019 16:00:00,53.99
7/30/2019 16:00:00,53.72
7/31/2019 16:00:00,52.63
8/1/2019 16:00:00,52.03
8/2/2019 16:00:00,52.33
8/5/2019 16:00:00,51.65
8/6/2019 16:00:00,52.27
8/7/2019 16:00:00,53.18
8/8/2019 16:00:00,53.69
8/9/2019 16:00:00,53.42
8/12/2019 16:00:00,53.2
8/13/2019 16:00:00,53.5
8/14/2019 16:00:00,52.99
8/15/2019 16:00:00,53.87
8/16/2019 16:00:00,54.41
8/19/2019 16:00:00,54.69
8/20/2019 16:00:00,53.88
8/21/2019 16:00:00,54.1
8/22/2019 16:00:00,54.49
8/23/2019 16:00:00,53.74
8/26/2019 16:00:00,54.54
8/27/2019 16:00:00,54.72
8/28/2019 16:00:00,55.11
8/29/2019 16:00:00,55.05
8/30/2019 16:00:00,55.04
9/3/2019 16:00:00,55.3
9/4/2019 16:00:00,55.77
9/5/2019 16:00:00,55.12
9/6/2019 16:00:00,55.23
9/9/2019 16:00:00,54.52
9/10/2019 16:00:00,54.4
9/11/2019 16:00:00,54.77
9/12/2019 16:00:00,55.11
9/13/2019 16:00:00,54.26
9/16/2019 16:00:00,53.96
9/17/2019 16:00:00,54.24
9/18/2019 16:00:00,54.23
9/19/2019 16:00:00,54.52
9/20/2019 16:00:00,53.91
9/23/2019 16:00:00,54.14
9/24/2019 16:00:00,54.3
9/25/2019 16:00:00,54.17
9/26/2019 16:00:00,54.39
9/27/2019 16:00:00,54.31
9/30/2019 16:00:00,54.44
10/1/2019 16:00:00,54.65
10/2/2019 16:00:00,53.08
10/3/2019 16:00:00,53.84
10/4/2019 16:00:00,54.54
10/7/2019 16:00:00,53.87
10/8/2019 16:00:00,53.58
10/9/2019 16:00:00,53.83
10/10/2019 16:00:00,53.66
10/11/2019 16:00:00,53.3
10/14/2019 16:00:00,53.3
10/15/2019 16:00:00,53.51
10/16/2019 16:00:00,53.49
10/17/2019 16:00:00,53.79
10/18/2019 16:00:00,54.78
10/21/2019 16:00:00,54.23
10/22/2019 16:00:00,53.85
10/23/2019 16:00:00,54.64
10/24/2019 16:00:00,54.61
10/25/2019 16:00:00,53.75
10/28/2019 16:00:00,53.57
10/29/2019 16:00:00,53.41
10/30/2019 16:00:00,53.94
10/31/2019 16:00:00,54.43
11/1/2019 16:00:00,53.9
11/4/2019 16:00:00,53.14
11/5/2019 16:00:00,52.42
11/6/2019 16:00:00,52.8
11/7/2019 16:00:00,52.29
11/8/2019 16:00:00,52.21
11/11/2019 16:00:00,51.84
11/12/2019 16:00:00,51.71
11/13/2019 16:00:00,52.41
11/14/2019 16:00:00,52.63
11/15/2019 16:00:00,52.67
11/18/2019 16:00:00,53.03
11/19/2019 16:00:00,53.08
11/20/2019 16:00:00,53.22
11/21/2019 16:00:00,52.96
11/22/2019 16:00:00,53.03
11/25/2019 16:00:00,53.22
11/26/2019 16:00:00,53.9
11/27/2019 16:00:00,53.95
11/29/2019 13:00:00,53.4
12/2/2019 16:00:00,53.75
12/3/2019 16:00:00,53.8
12/4/2019 16:00:00,54.29
12/5/2019 16:00:00,54.19
12/6/2019 16:00:00,54.42
12/9/2019 16:00:00,54.07
12/10/2019 16:00:00,53.77
12/11/2019 16:00:00,53.95
12/12/2019 16:00:00,54.14
12/13/2019 16:00:00,54.42
12/16/2019 16:00:00,54.42
12/17/2019 16:00:00,54.42
12/18/2019 16:00:00,53.91
12/19/2019 16:00:00,54.32
12/20/2019 16:00:00,54.97
12/23/2019 16:00:00,54.91
12/24/2019 13:00:00,54.71
12/26/2019 16:00:00,55.02
12/27/2019 16:00:00,55.35
12/30/2019 16:00:00,55.27
